* This data was exported from the Dayton Audio Test System: DATS
*
D    	0	[mm]
Re   	5.743	[Ohms]
Fs   	394.3	[Hz]
Zm   	23.35	[Ohms]
BL   	0	[N/A]
Qms  	4.27
Qes  	1.393
Qts  	1.05
Vas  	0 	[liters]
L10k 	0.1171	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
1.029    	6.103    	-1.833    
1.059    	6.103    	-1.833    
1.091    	6.103    	-1.833    
1.122    	6.103    	-1.833    
1.155    	6.103    	-1.833    
1.189    	6.103    	-1.833    
1.224    	6.103    	-1.833    
1.260    	6.103    	-1.833    
1.297    	6.103    	-1.833    
1.335    	5.873    	-0.299    
1.374    	5.873    	-0.299    
1.414    	5.873    	-0.299    
1.456    	5.873    	-0.299    
1.498    	5.873    	-0.299    
1.542    	5.873    	-0.299    
1.587    	5.873    	-0.299    
1.634    	5.873    	-0.299    
1.682    	5.873    	-0.299    
1.731    	5.873    	-0.299    
1.782    	5.873    	-0.299    
1.834    	5.873    	-0.299    
1.888    	5.873    	-0.299    
1.943    	5.873    	-0.299    
2.000    	5.760    	0.542    
2.059    	5.760    	0.542    
2.119    	5.760    	0.542    
2.181    	5.760    	0.542    
2.245    	5.760    	0.542    
2.311    	5.760    	0.542    
2.378    	5.760    	0.542    
2.448    	5.760    	0.542    
2.520    	5.760    	0.542    
2.594    	5.760    	0.542    
2.670    	5.746    	0.337    
2.748    	5.746    	0.337    
2.828    	5.746    	0.337    
2.911    	5.746    	0.337    
2.997    	5.746    	0.337    
3.084    	5.746    	0.337    
3.175    	5.746    	0.337    
3.268    	5.746    	0.337    
3.364    	5.752    	0.522    
3.462    	5.752    	0.522    
3.564    	5.752    	0.522    
3.668    	5.752    	0.522    
3.775    	5.752    	0.522    
3.886    	5.752    	0.522    
4.000    	5.746    	0.466    
4.117    	5.746    	0.466    
4.238    	5.746    	0.466    
4.362    	5.746    	0.466    
4.490    	5.746    	0.466    
4.621    	5.746    	0.466    
4.757    	5.753    	0.588    
4.896    	5.753    	0.588    
5.040    	5.753    	0.588    
5.187    	5.753    	0.588    
5.339    	5.751    	0.617    
5.496    	5.751    	0.617    
5.657    	5.751    	0.617    
5.823    	5.751    	0.617    
5.993    	5.754    	0.723    
6.169    	5.754    	0.723    
6.350    	5.754    	0.723    
6.536    	5.754    	0.723    
6.727    	5.753    	0.773    
6.924    	5.753    	0.773    
7.127    	5.753    	0.773    
7.336    	5.755    	0.879    
7.551    	5.755    	0.879    
7.772    	5.755    	0.879    
8.000    	5.754    	0.942    
8.234    	5.754    	0.942    
8.476    	5.754    	0.942    
8.724    	5.756    	1.053    
8.980    	5.756    	1.053    
9.243    	5.756    	1.053    
9.514    	5.755    	1.101    
9.792    	5.755    	1.101    
10.079    	5.758    	1.188    
10.375    	5.758    	1.188    
10.679    	5.755    	1.228    
10.992    	5.755    	1.228    
11.314    	5.760    	1.338    
11.645    	5.760    	1.338    
11.986    	5.759    	1.388    
12.338    	5.759    	1.388    
12.699    	5.762    	1.510    
13.071    	5.762    	1.510    
13.454    	5.761    	1.554    
13.849    	5.761    	1.554    
14.254    	5.761    	1.665    
14.672    	5.762    	1.700    
15.102    	5.762    	1.700    
15.545    	5.760    	1.800    
16.000    	5.764    	1.843    
16.469    	5.764    	1.843    
16.951    	5.762    	1.928    
17.448    	5.768    	1.986    
17.959    	5.764    	2.063    
18.486    	5.764    	2.063    
19.027    	5.768    	2.165    
19.585    	5.765    	2.279    
20.159    	5.765    	2.297    
20.749    	5.767    	2.389    
21.357    	5.766    	2.434    
21.983    	5.768    	2.537    
22.627    	5.769    	2.590    
23.290    	5.769    	2.685    
23.973    	5.771    	2.752    
24.675    	5.770    	2.841    
25.398    	5.774    	2.901    
26.143    	5.772    	2.990    
26.909    	5.775    	3.087    
27.697    	5.775    	3.142    
28.509    	5.777    	3.232    
29.344    	5.777    	3.333    
30.204    	5.781    	3.425    
31.089    	5.780    	3.520    
32.000    	5.783    	3.634    
32.938    	5.786    	3.758    
33.903    	5.787    	3.869    
34.896    	5.790    	3.980    
35.919    	5.793    	4.101    
36.971    	5.795    	4.220    
38.055    	5.795    	4.346    
39.170    	5.798    	4.489    
40.317    	5.798    	4.583    
41.499    	5.800    	4.702    
42.715    	5.803    	4.859    
43.967    	5.806    	5.040    
